tweet,entities
Today is the day to give your $2.76 worth. There 16.4M #aussie registered to vote that is an eye watering $45.3M #auspol #ausvote #votegreen #thefuckingplanetisonfire,"['Today', 'There', '#aussie', '#auspol', '#ausvote', '#votegreen', '#thefuckingplanetisonfire']"
"#qanda

____ Home Insurance

‘1 in ten Australian homes affected’

“... data, published by the Actuaries Institute, reveals the frequency of extreme weather in the country’s worst-affected regions has doubled compared to the long-term average.”

#auspol

https://t.co/7e1L4t2qyp","['#qanda', 'Home', 'Insurance', 'Australian', 'Actuaries', 'Institute', '#auspol']"
Kid have me wrong change at sausage sizzle. Now googling which party has the best education policy #ausvotes,"['Kid', 'Now', '#ausvotes']"
So... I guess the LNP are against this plan to create jobs in Adelaide and reducing emissions? #auspol 😝 https://t.co/ujftazrrdJ,"['So', 'Adelaide', '#auspol']"
@AmandaPerram Labor was brave. Any braver and they'd have lost even more seats. It's not their fault. Australia was afraid to vote for vision and compassion.,"['@AmandaPerram', 'Labor', 'Any', 'It', 'Australia']"
What the hell? #auspol,"['What', '#auspol']"
"A green new deal. 
What workers need. 
What the environment needs. 
#auspol
#GreenNewDeal https://t.co/Wq1dMOXjr3","['What', 'What', '#auspol', '#GreenNewDeal']"
"Still at the polling booth, handing out HTV cards to the very last! #auspol @westaustralian @6PR @WAtoday https://t.co/6GMJNxDczh","['Still', '#auspol', '@westaustralian', '@6PR', '@WAtoday']"
I think the moral of the campaign is that in five weeks the tpp hasn’t changed #ausvotes,['#ausvotes']
Here are the winning stocks in Australia as Morrison takes victory at the elections https://t.co/StfBzx38Ck #2020Elections #Elections #2019Elections #Politics,"['Here', 'Australia', 'Morrison', '#2020Elections', '#Elections', '#2019Elections', '#Politics']"
"“He waged a relentless campaign.”

Former prime minister John Howard praises Scott Morrison’s performance this election.

#auspol #ausvotes ⁦⁦@politicsabc⁩ https://t.co/zEg8xyqEsS","['He', 'Former', 'John', 'Howard', 'Scott', 'Morrison', '#auspol', '#ausvotes', '@politicsabc']"
"Media ban starts midnight tonight ONLY on the following: TV 📺 AND Radio 📻. 

Everything else is ✅ 

#auspol #AusVotes2019 #ausvotes19","['Media', 'Radio', 'Everything', '#auspol', '#AusVotes2019', '#ausvotes19']"
"The Coalition scores one out of twelve (ouch), Labor eleven/twelve and the Greens ten/twelve. #ausvotes #auspol 
 https://t.co/YHNSu8hRt8 via @WomensAgenda","['The', 'Coalition', 'Labor', 'Greens', '#ausvotes', '#auspol', '@WomensAgenda']"
A lot of deluded people who seem to think their preferred leftist party will solve climate change in 4 years like some sort of real life Captain Planet &amp; The Planeteers. #AusPol,"['Captain', 'Planet', 'The', 'Planeteers', '#AusPol']"
@Waveline2shore Will they be amphibious as #SarahHenderson has promised pools everywhere? #auspol #LNPFail https://t.co/ynbfodu1gA,"['@Waveline2shore', 'Will', '#SarahHenderson', '#auspol', '#LNPFail']"
The spud &amp; beetroot retained their seats RIP Australia seriously WHAT will it take to wake the fuck up? #ausvotes,"['The', 'Australia', '#ausvotes']"
Too often on Twitter I've been told to get a job!  #auspol https://t.co/8XHwlXTMEl,"['Too', 'Twitter', '#auspol']"
"G'day #auspol where is the #TopEndofTown in #Melbourne, so that we cld plan to get out after #ausvotes bcz #Shorten Govt will hit hard that part of Town😀","['#auspol', '#TopEndofTown', '#Melbourne', '#ausvotes', '#Shorten', 'Govt', 'Town']"
Fuck you Queensland #auspol https://t.co/QVaCkioEVH,"['Fuck', 'Queensland', '#auspol']"
"They don’t even pretend to represent minorities do they?
#auspol #Liberals","['They', '#auspol', '#Liberals']"
"A promise is a concept, like a pinky swear, not something tangible. I'd rather have a PM that is interested in delivering tangible betterment to the majority of Australians who cannot afford rising rental costs, let alone a mortgage. #ScoMo is so out of touch. #AusVotes #AusPol https://t.co/ovOSRi1Q3C","['Australians', '#ScoMo', '#AusVotes', '#AusPol']"
If we get rid of Tony but keep ScoMo I'm gonna feel broken #ausvotes,"['If', 'Tony', '#ausvotes']"
Poor old @BBCNews caught with its political pants down again after believing every poll - making the same mistake with @Nigel_Farage  https://t.co/oiuXDLGVTO #AustraliaDecides #AUSVote19 #BrexitParty #EuropeanElection2019,"['Poor', '@BBCNews', '@Nigel_Farage', '#AustraliaDecides', '#AUSVote19', '#BrexitParty', '#EuropeanElection2019']"
Can you tell the Queensland vote was decisive in dooming lefties in Australia? https://t.co/q3X24K4l6c,"['Can', 'Queensland', 'Australia']"
Rupert bloody Murdoch won again and our democracy is crumbling. #auspol #ausvotes https://t.co/0DSRsdSgyS,"['Rupert', 'Murdoch', '#auspol', '#ausvotes']"
#Ludlow | https://t.co/adig5zuxOl | Australia and Iceland qualify for Eurovision final but Finland snubbed UK residents could not vote in this round but will be able to during the 18-act second semi-final on Thursday and the grand final on Saturday. https://t.co/jC5QkEv3aH,"['#Ludlow', 'Australia', 'Iceland', 'Eurovision', 'Finland', 'Thursday', 'Saturday']"
Why the Coalition can’t be trusted on #climate and energy https://t.co/DL48SXTIAd #auspol,"['Why', 'Coalition', '#climate', '#auspol']"
#auspol https://t.co/tMT4iQyQvy,['#auspol']
Election Day 2019 is in full swing across the country as Scott Morrison and Bill Shorten vie for the country's leadership. #9News #AusVotes19 #Auspol @jekearsley @lizziedaniels https://t.co/dDSzGZIlQi,"['Election', 'Day', 'Scott', 'Morrison', 'Bill', 'Shorten', '#9News', '#AusVotes19', '#Auspol', '@jekearsley', '@lizziedaniels']"
"#indivotes interesting read about #rustedoff voters in rural #Ausvotes what are their choices? #Indi has a candidate who will focus her attention on us &amp; our rural electorate needs @HelenHaines1 - #Vote1HelenHaines.
'Battle for the Bush': https://t.co/NJQTcnxV4n via @SBSNews","['#indivotes', '#rustedoff', '#Ausvotes', '#Indi', '@HelenHaines1', '#Vote1HelenHaines', 'Battle', 'Bush', '@SBSNews']"
"@MegJobson1 @margokingston1 Looking like @LiberalAus has been dead and buried for some time , first with ""Team Turnbull"" at election 2016 now with ""Solo man"" Morrison at #AusVotes2019 #auspol","['@MegJobson1', '@margokingston1', 'Looking', '@LiberalAus', 'Team', 'Turnbull', 'Solo', 'Morrison', '#AusVotes2019', '#auspol']"
Labor are not able to include everyone and have not had time to develop a proper plan for social and income security. So #fairgoBill has been dining with Billionaire Forrest to get ALPs social security policy. #auspol #ausvotes #fairness #corruption #unemployed #HousingForAll https://t.co/99VeyDfOaI,"['Labor', 'So', '#fairgoBill', 'Billionaire', 'Forrest', '#auspol', '#ausvotes', '#fairness', '#corruption', '#unemployed', '#HousingForAll']"
Tony Abbott losing is the consolation prize if ALP loses #australiadecides,"['Tony', 'Abbott', '#australiadecides']"
"Whatever the result, with no more Clive Palmer ads on the telly, everyone's a winner! #ausvotes","['Whatever', 'Clive', 'Palmer', '#ausvotes']"
Even THIS poll got it wrong. #auspol Bye bye Shifty... https://t.co/Mb0pLB0EkS,"['Even', '#auspol', 'Bye', 'Shifty']"
#CowperVotes #CoffsHarbour #CoffsCoast #auspol #lnpfail #ausvotes #AusVotes19 https://t.co/YF3CEndcMi,"['#CowperVotes', '#CoffsHarbour', '#CoffsCoast', '#auspol', '#lnpfail', '#ausvotes', '#AusVotes19']"
Labor's Gender Agenda #auspol #ausvotes19 #aupol  https://t.co/yiATx2IOYd,"['Labor', 'Gender', 'Agenda', '#auspol', '#ausvotes19', '#aupol']"
@LesStonehouse I'm switching back to making effort to vote on the day this time as I think the 3 week prepoll is very silly. Looking forward to no queues and discount sausages. #ausvotes,"['@LesStonehouse', 'Looking', '#ausvotes']"
"@mathaiaus @GordyPls Sweet mercy. This is 100% my autocorrect. 

I believe that Australia to vote in Parliament House Canberra for the next inauguration of the actual oppressing race.","['@mathaiaus', '@GordyPls', 'Sweet', 'This', 'Australia', 'Parliament', 'House', 'Canberra']"
"Go fuckin vote.

If you don't vote even though it is compulsory, you don't get the right to bitch about who gets elected. 

Plus you get a free snag at some polling booths. It's win-win.

#ausvotes","['Go', 'If', 'Plus', 'It', '#ausvotes']"
"@JonathanPieNews @Rachael_Swindon @Nigel_Farage Go vote! In Australia, it's compulsory.
Go vote! Your ancestors died to win the privilage.
Did I say Go Vote?!!! https://t.co/wRFH6odVMs","['@JonathanPieNews', '@Rachael_Swindon', '@Nigel_Farage', 'Go', 'In', 'Australia', 'Go', 'Your', 'Did', 'Go', 'Vote']"
"Vale Bob Hawke.
We’re coming for you Scummo, ya miserable dog. #auspol","['Vale', 'Bob', 'Hawke', 'We', 'Scummo', '#auspol']"
The democracy sausage that Morrison will choke on. #auspol #democracysausage #quexit #notmyaustralia https://t.co/uFdwMAWm1H,"['The', 'Morrison', '#auspol', '#democracysausage', '#quexit', '#notmyaustralia']"
Well - it is clear that the polling has totally gotten it wrong this year and the 'silent' majority had cast their vote against prediction. Antipathy is the theme and people have spoken in volumes. #AUSVote19 #ausvotes,"['Well', 'Antipathy', '#AUSVote19', '#ausvotes']"
"So NSW ! You are happy to lie in the same bed and shit you chose last time.. ? 

Given a change to make a change and just leave things as they are...

May God save the Governor General as nothing will save us.. we are all doomed #australiavotes","['So', 'You', 'Given', 'May', 'God', 'Governor', 'General', '#australiavotes']"
"@sffAustralia @OneNationAus @fraseranningQLD makes big gains and preferences @LiberalAus who scrape in by the skin of their teeth! #ausvotes
Labor eyes narrow path to victory in tight election race https://t.co/nYx981JjB2 via @ABCNews","['@sffAustralia', '@OneNationAus', '@fraseranningQLD', '@LiberalAus', '#ausvotes', 'Labor', '@ABCNews']"
A prediction BEFORE the campaign even began! #auspol #ausvotes https://t.co/zThbiU47Qq,"['#auspol', '#ausvotes']"
Wife travelled from Stawell to Werribee tonight. Simple 2:30 by car = 4:40 by Public Transport! #SpringSt @JaalaPulford @LouiseStaley @DanTehanWannon @AlexDyson @mauricebilli  #WannonVotes #SpringSt #Auspol #Ausvotes #australiavotes2019,"['Wife', 'Stawell', 'Werribee', 'Simple', 'Public', 'Transport', '#SpringSt', '@JaalaPulford', '@LouiseStaley', '@DanTehanWannon', '@AlexDyson', '@mauricebilli', '#WannonVotes', '#SpringSt', '#Auspol', '#Ausvotes', '#australiavotes2019']"
"@erinrileyau That this blatant lie of a narrative has persisted, completely unchallenged for over a DECADE by Australia's mainstream media, is in ITSELF basis enough for a Royal Commission into our media monopolies and the influence of Murdoch.

Enough! #Labor saved us #GFC

#ausvotes #auspol","['@erinrileyau', 'That', 'Australia', 'Royal', 'Commission', 'Murdoch', 'Enough', '#Labor', '#GFC', '#ausvotes', '#auspol']"
Australian PM Scott Morrison claims historic win after Labor loses 'unlosable' election @CNN https://t.co/kHDhsL0abu,"['Australian', 'Scott', 'Morrison', 'Labor', '@CNN']"
"Unfortunately plausible, as even folks that don't buy into the hate may buy into the idea of ""we'll create a stable environment for you to be personally charitable"" (however inaccurate that idea may be) #auspol https://t.co/z6nqtDCEbP","['Unfortunately', '#auspol']"
"hey aussies!!!  do you have the social intelligence of a sea sponge???  https://t.co/O9gbUZQeFJ

#ClimateChange
#ClimateNazi 
@Greens 
#aus #auspol 
#nsw #nswpol
#qld #qldpol https://t.co/W1bcfHmxbt","['#ClimateChange', '#ClimateNazi', '@Greens', '#aus', '#auspol', '#nsw', '#nswpol', '#qld', '#qldpol']"
@australian @TonyAbbottMHR ❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️ Perhaps Mr Abbott now has some compassion for Ms Gillard? He smirked and laughed right along with ALL the horrid SUSTAINED ATTACKS on Ms. Gillard.  Makes one think about karma! Mr Abbott does enjoy 'victim status'. #auspol   #WarringahVotes,"['@australian', '@TonyAbbottMHR', 'Perhaps', 'Mr', 'Abbott', 'Ms', 'Gillard', 'He', 'Ms', 'Gillard', 'Makes', 'Mr', 'Abbott', '#auspol', '#WarringahVotes']"
2019 election: Why politics is toxic for Australia’s women https://t.co/y1mVDN0UPQ https://t.co/hECHnaOfZf,"['Why', 'Australia']"
Ronny Radliff is dead to me after today. Queensland can get stuffed! #AUSVote19 #australiavotes #AustraliaDecides,"['Ronny', 'Radliff', 'Queensland', '#AUSVote19', '#australiavotes', '#AustraliaDecides']"
"I’m still struggling to get my head around what went down in #auspol last night; but what I do get is what we saw 2 days ago at Mt Cook NZ: the ridge line in the centre of this shot is where the Mueller glacier used to come up to in the 1990s, when I was last here #ClimateChange https://t.co/ZGHkYayuIE","['#auspol', 'Mt', 'Cook', 'Mueller', '#ClimateChange']"
Nothing like a bit of exaggeration eh Clive? This is a better image for your ad! #Auspol #Election2019 https://t.co/8jmkGTP7UU,"['Nothing', 'Clive', 'This', '#Auspol', '#Election2019']"
"The bigger issue is voter discontent. In the U.S. early voting is a sign of enthusiasm. Here, experts tell me, it's a sign of frustration. Mandatory voting also hides declining faith in democracy. So the big question: What can #auspol and civil society do about THAT? 4/4","['The', 'In', 'Here', 'Mandatory', 'So', 'What', '#auspol']"
"#TheDrum the idea the fair work commission is ‘independent’, much like the Reserve Bank being independent is laughable. Real wages are NOT ‘growing’. The system is broken #auspol #AUSVotes19 #LNPfail","['#TheDrum', 'Reserve', 'Bank', 'Real', 'The', '#auspol', '#AUSVotes19', '#LNPfail']"
Go the Tone #auspol #AusVotes19 https://t.co/yd9MMBY740,"['Go', 'Tone', '#auspol', '#AusVotes19']"
"Australia's conservative coalition scores stunning political victory in general election, defies pol... https://t.co/xUArGYgU6W",['Australia']
Scomo supporter feeling the pressure.#auspol https://t.co/p2eWK8DCKA,"['Scomo', '#auspol']"
We’ve made it easy for you to ask your candidate to support ad regs and age-verification. See here to learn how&gt;&gt; https://t.co/aDE2mGJm4E #auspol #AusVotes2019,"['We', 'See', '#auspol', '#AusVotes2019']"
I’m angry and as devastated as hell. You bet I’m going to be as vocal and proactive as ever these next 4 years. #auspol,"['You', '#auspol']"
For anyone who missed this - Bob Hawke at the National Press Club as Opposition Leader a week out from the March 1983 election @abcnews #auspol #bobhawke https://t.co/77ts4Uz6m4,"['For', 'Bob', 'Hawke', 'National', 'Press', 'Club', 'Opposition', 'Leader', 'March', '@abcnews', '#auspol', '#bobhawke']"
"Please vote for FOUR PAWS Australia to share in $50,000 https://t.co/uutPggK80p","['Please', 'Australia']"
Australia’s Conservatives Win Surprise Election Victory in Election Focused on the Environment https://t.co/DFgYyn6pLV,"['Australia', 'Conservatives', 'Win', 'Surprise', 'Election', 'Victory', 'Election', 'Focused', 'Environment']"
Arundhati Roy on Why She Admires WikiLeaks &amp; Opposes Assange’s Extradition to the U.S. https://t.co/c1v3uQD7cW #auspol,"['Arundhati', 'Roy', 'Why', 'She', 'Admires', 'Opposes', 'Assange', 'Extradition', '#auspol']"
"@mjrowland68 @billshortenmp @abcnews Maybe now you will report on his rape allegation 

#auspol","['@mjrowland68', '@billshortenmp', '@abcnews', 'Maybe', '#auspol']"
"Just watched the vision of brutal treatment of motorist by @WA_Police.

Zero respect for the public. Who gives these thugs weapons?

Q: What's the difference between @WA_Police and any other gang of vicious thugs?

A: a uniform.

#auspol","['Just', '@WA_Police', 'Zero', 'Who', 'What', '@WA_Police', '#auspol']"
"Well, that is frank and revelatory! #AusPol. @PhillipAdams_1 @SteveAustinABC @Mirandaprorsus @phbarratt @tonykevin https://t.co/LDXWmkKLAG","['Well', '#AusPol', '@PhillipAdams_1', '@SteveAustinABC', '@Mirandaprorsus', '@phbarratt', '@tonykevin']"
"@egmond_mark @elyasgarad @TonyAbbottMHR Nah,  he can't come back.  
Don't need his type in power. 

#LNPcorruption. #LNPfilth. #Auspol","['@egmond_mark', '@elyasgarad', '@TonyAbbottMHR', 'Nah', 'Don', '#LNPcorruption', '#LNPfilth', '#Auspol']"
Alan Jones is fibbing about Labor https://t.co/Gevlo0LgC7 @AlanJones,"['Alan', 'Jones', 'Labor', '@AlanJones']"
In coal we trust: Australian voters back PM Morrison's faith in fossil fuel https://t.co/ngxngOXJD3,"['In', 'Australian', 'Morrison']"
Just been to #church #austvotes2019 #auspol @ St George's Anglican Church Malvern https://t.co/gKp7Dlrcb2,"['Just', '#church', '#austvotes2019', '#auspol', 'St', 'George', 'Anglican', 'Church', 'Malvern']"
"In her new take on eschatology, Kerry-Anne Kennerley predicts the ""end of life as we know it"" courtesy of Bill Shorten. The four horsemen of the apocalypse are on their way, apparently. 3 days to go! Morrison will be thrilled, wrapt that the Rapture is so soon! #Ausvotes #Auspol","['In', 'Kerry', 'Anne', 'Kennerley', 'Bill', 'Shorten', 'The', 'Morrison', 'Rapture', '#Ausvotes', '#Auspol']"
Another case where belligerence is more important than anything above all #ausvotes,"['Another', '#ausvotes']"
"Moreover, Senator @Briggs? WE GET THE PLANET WE DESERVE. Thankfully, that includes their fucking kids/grandkids. 🙏 #auspol https://t.co/CUurgG20Vw","['Moreover', 'Senator', '@Briggs', 'Thankfully', '#auspol']"
"Classy speech @billshortenmp... You said to never give up faith, that individuals can make a difference. It's hard to keep the faith right now. I don't know how we go on from here. Thank you for trying and campaigning so well - you and your team have much to be proud of. #auspol","['Classy', '@billshortenmp', 'You', 'It', 'Thank', '#auspol']"
"I've gotta say, one of my favourite things about Australian elections, is getting asked about the democracy sausage by foreigners.

I'm amused at that being the thing that makes it overseas about our elections.
#auspol","['Australian', '#auspol']"
So when does Scomo jump on a dragon and burn us all? #auspol #AUSVotes19,"['So', 'Scomo', '#auspol', '#AUSVotes19']"
#AustraliaDecides https://t.co/4AAaVR2QWN,['#AustraliaDecides']
"Voting done, morning run done. Geeze the bbq there smelt good. Actually did my research into what each party was saying and considered what was being said and voted accordingly 👍 #AusVotes2019 #auspol","['Voting', 'Geeze', 'Actually', '#AusVotes2019', '#auspol']"
"Scott Morrison is going to vote soon at Lilli Pilli Public School, where I can report there is NO SAUSAGE SIZZLE #auspol https://t.co/P1YSZuPXo2","['Scott', 'Morrison', 'Lilli', 'Pilli', 'Public', 'School', '#auspol']"
"Fortress Vic, Fortress Vic, Fortress Vi... #auspol","['Fortress', 'Vic', 'Fortress', 'Vic', 'Fortress', 'Vi', '#auspol']"
The mood in the room at the Coalition function is buoyant #ausvotes #auspol @australian https://t.co/IrVF8D3pUb,"['The', 'Coalition', '#ausvotes', '#auspol', '@australian']"
The Sydney Swans upheld their part of the equation #ausvotes,"['The', 'Sydney', 'Swans', '#ausvotes']"
Handed out how to vote cards for the last 3 hours at the booth where I normally vote. Usually long queues but none today. A lot fewer voters than in past years. Lots have already voted #ausvotes,"['Handed', 'Usually', 'Lots', '#ausvotes']"
"Australian leaders make last poll pitch, mourn former PM Hawke https://t.co/xMapxcT93t #topNews https://t.co/GA5oXyiqcm https://t.co/MCwtgoHJDi","['Australian', 'Hawke', '#topNews']"
Thank god! Aunty might be getting her money back so she can make more great local TV shows. One hitch - we need @billshortenmp to win. C’mon Aussie c’mon! #Auspol #AusVotes19 #ilikebilllshorten #saveAunty https://t.co/MBnhy8eHxx,"['Thank', 'Aunty', 'One', '@billshortenmp', 'Aussie', '#Auspol', '#AusVotes19', '#ilikebilllshorten', '#saveAunty']"
"I am @FrBower Now, more than ever we need to unite and keep fighting the good fight. They may have won this battle but we cannot let them win the war ✊️ #auspol⁠ ⁠ #AusPol⁠ ⁠ #Elections2019results #Australiavotes https://t.co/voIoomxx17","['@FrBower', 'Now', 'They', '#auspol', '#AusPol', '#Elections2019results', '#Australiavotes']"
@TonyAbbottMHR Remember #WarringahVotes his party is giving him only one more election but You can send him to retirement #auspol #AusVotes19 https://t.co/KywnUKUd2g,"['@TonyAbbottMHR', 'Remember', '#WarringahVotes', 'You', '#auspol', '#AusVotes19']"
"Vale Bob Hawke. 

Also fuck you Tony. Your incorrectly dated diatribe of stupidity, doesn't even warrent repeating. #auspol","['Vale', 'Bob', 'Hawke', 'Also', 'Tony', 'Your', '#auspol']"
#auspol lol https://t.co/rcjIynRF2F,['#auspol']
"Here's why #Morrison won't let his ministers do press conferences. Watch Smirkoff grind his teeth &amp; wince once the questions asked. #SquirmSession Old news hurts, oh yes it hurts. 
#ausvotes #ausvotes19 #auspol #hastie #Electioncampaign #HeyJohnno #ControlFreak #Preacher https://t.co/WTMzKGzSpr","['Here', '#Morrison', 'Watch', 'Smirkoff', '#SquirmSession', 'Old', '#ausvotes', '#ausvotes19', '#auspol', '#hastie', '#Electioncampaign', '#HeyJohnno', '#ControlFreak', '#Preacher']"
"NOT ONE #Journalist @ #NPC had sufficient intestinal fortitude to ask #scumo wtte

 ""why did waste our time &amp; yours if you REFUSE to answer ANY QUESTIONS FFS !!??
#auspol #ausvotes","['#Journalist', '#NPC', '#scumo', '#auspol', '#ausvotes']"
"So, Bill had a go, but he’s not going to get a go?

How is this meant to work again?

#auspol #haveagogetago #AustraliaDecides","['So', 'Bill', 'How', '#auspol', '#haveagogetago', '#AustraliaDecides']"
UN admits Himalaya glacier data dodgy  #auspol #ausvotes https://t.co/4uQYCDrmq1 via @ABCNews,"['Himalaya', '#auspol', '#ausvotes', '@ABCNews']"
"When one of Australia's worst PMs eulogises one of the best PMs, a train wreck results. #auspol https://t.co/hFrE7AwuhN","['When', 'Australia', '#auspol']"
"@20thCenturyDan You're a teacher? 

And that's the example you set?

I hope people make sure you are never in any position where you have any influence upon the youth of Australia. 

Wishing people dead because you're too emotionally immature to deal with election results?","['@20thCenturyDan', 'You', 'And', 'Australia', 'Wishing']"
"@antfarmer @RachelBkr Well, he didn't nought exactly. He spent 60M to get a Senate spot for himself, didn't get one, but, together with One Nation preferences, United Australia preferences (between 3-4 % NATIONALLY) gave LNP government #auspol #AustraliaDecides #australiavotes #australiavotes2019","['@antfarmer', '@RachelBkr', 'Well', 'He', 'Senate', 'One', 'Nation', 'United', 'Australia', '#auspol', '#AustraliaDecides', '#australiavotes', '#australiavotes2019']"
Excited to announce my new job as prime minster of Australia in an election result widely described as “sensational”,"['Excited', 'Australia']"
"If you’re around Five Dock/Drummoyne, drop by @AbbotsfordPSNSW to vote and check out the sausage sizzle, coffee, cake stall, and side-show alley! Raising $ to support school community! #reid #AUSVote19 #ausvotes #democracysausage ☕️ 🧁 https://t.co/5agEUjcYhM","['If', 'Five', 'Dock', 'Drummoyne', '@AbbotsfordPSNSW', 'Raising', '#reid', '#AUSVote19', '#ausvotes', '#democracysausage']"
"Sad for #Labor aficionados today w/ passing of the great Bob Hawke. He was such a man of the people, intelligent &amp; generous, a larrikin &amp; a lover. Bob did some great things which were inspirational but confrontational for #Labor policy-wise, not to be forgotten. VALE Bob. #auspol","['Sad', '#Labor', 'Bob', 'Hawke', 'He', 'Bob', '#Labor', 'Bob', '#auspol']"
Your timing is impeccable your holiness. #auspol #VoteLabor https://t.co/XC4GEWD28z,"['Your', '#auspol', '#VoteLabor']"
"So Peter Dutton swapped 2 Nobel Peace Prize winners for 2 suspect murderers??

#Dickson #australiavotes2019 #auspol","['So', 'Peter', 'Dutton', 'Nobel', 'Peace', 'Prize', '#Dickson', '#australiavotes2019', '#auspol']"
"Pencil + Paper + Ink = Democracy.
https://t.co/vAwBcYZqM9 #ausvotes","['Pencil', 'Paper', 'Ink', 'Democracy', '#ausvotes']"
@Havingmysay2 @JaneMarwick @SkyNewsAust Bloody non proof reading. Don't you hate that ! I'll brush it. #AusPol,"['@Havingmysay2', '@JaneMarwick', '@SkyNewsAust', 'Bloody', 'Don', '#AusPol']"
"Shorten is in the middle of his concession speech and Albo has already said he will challenge for the leadership. 😂🤣😂😂🤣
Labor is a shit show. #auspol #AustraliaDecides","['Shorten', 'Albo', 'Labor', '#auspol', '#AustraliaDecides']"
"This is not the Australia I want to live in...time for a huge change, Vote #Labor on Saturday 18! https://t.co/zJihKTIlIn","['This', 'Australia', 'Vote', '#Labor', 'Saturday']"
"Don’t believe Liberal rants in #Warringah. @GetUp didn’t outspend @TonyAbbottMHR, we out-peopled. I was one of 100s of Northern Beaches residents who door knocked and called to persuade our neighbours to boot Abbott out. It wasn’t $$ it was democracy in action #ausvotes","['Don', 'Liberal', '#Warringah', '@GetUp', '@TonyAbbottMHR', 'Northern', 'Beaches', 'Abbott', 'It', '#ausvotes']"
"Voter: ""If we don't have a planet, nothing else matters."" #HearHear

#auspol #ausvotes #ausvotes19","['Voter', 'If', '#HearHear', '#auspol', '#ausvotes', '#ausvotes19']"
"@ScottMorrisonMP!You're a good person &amp; I believe in miracles but cheating &amp; fraudulent #Election2019Results are not miracles. As prime minister, you must first check the possibility of rigging in what #AustraliaDecides on #ElectionResults2019 by your party.#Putin isn't a miracle","['@ScottMorrisonMP', 'You', '#Election2019Results', 'As', '#AustraliaDecides', '#ElectionResults2019', '#Putin']"
"BREAKING: While @ScottMorrisonMP watches #GameOfThrones tomorrow starring #JonSnow

Labor #Auspol MP’s will be asked to watch a replay of last nights @abcnews election coverage starring @AntonyGreenABC 

#Insiders #MediaWatch #Qanda #TheDrum 

@andrewprobyn @LaTrioli @vanbadham https://t.co/x5WnGhoZq0","['While', '@ScottMorrisonMP', '#GameOfThrones', '#JonSnow', 'Labor', '#Auspol', '@abcnews', '@AntonyGreenABC', '#Insiders', '#MediaWatch', '#Qanda', '#TheDrum', '@andrewprobyn', '@LaTrioli', '@vanbadham']"
Live results for the 2019 Australian election: track the votes https://t.co/PlWfArbepI,"['Live', 'Australian']"
